District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,
Hingoli,2011 - 2012,"42,900.00","53,700.00",1.25,19.118,34.174,25.732,15.348,2.338,3.584,,
Hingoli,2012 - 2013,"50,500.00","76,500.00",1.51,18.07,34.298,25.604,15.87,3.822,3.546,,
Hingoli,2013 - 2014,"46,900.00","46,500.00",0.99,18.192,31.916,24.608,16.942,6.03,3.636,,
Hingoli,2014 - 2015,"47,900.00","19,200.00",0.4,19.044,36.514,26.884,14.612,2.066,3.988,,
Hingoli,2015 - 2016,"47,800.00","18,700.00",0.39,19.832,36.516,27.512,15.24,2.168,3.516,,
Hingoli,2016 - 2017,"54,800.00","25,500.00",0.47,18.162,33.898,25.13,15.856,5.11,3.606,,
Hingoli,2017 - 2018,"56,997.00","33,800.00",0.59,19.062,35.082,26.336,16.652,4.532,3.318,,
Hingoli,2018 - 2019,"56,244.00","15,813.00",0.28,18.79,35.392,26.374,15.332,2.908,3.358,,
Hingoli,2019 - 2020,"44,716.00","31,643.00",0.71,19.906,34.238,26.466,16.732,4.038,3.448,,
Hingoli,2020 - 2021,"45,753.96","8,601.74",0.19,18.77,32.914,25.478,17.676,5.766,2.948,,
Hingoli,2021 - 2022,"42,176.56","15,213.08",0.36,18.308,32.452,25.208,17.824,6.276,3.166,,
Hingoli,2022 - 2023,"5,238.29","2,652.15",0.51,17.84,33.726,24.984,16.58,6.46,3.292,,
Jalgaon,1999 - 2000,"1,45,400.00","2,37,700.00",1.63,0,0,0,0,0,0,,
Jalgaon,2000 - 2001,"1,42,100.00","1,67,100.00",1.18,0,0,0,0,0,0,,
Jalgaon,2001 - 2002,"1,44,500.00","2,16,600.00",1.5,0,0,0,0,0,0,,
Jalgaon,2002 - 2003,"1,55,900.00","3,29,700.00",2.11,0,0,0,0,0,0,,
Jalgaon,2003 - 2004,"1,54,700.00","2,89,300.00",1.87,0,0,0,0,0,0,,
Jalgaon,2004 - 2005,"1,32,500.00","2,42,400.00",1.83,0,0,0,0,0,0,,
Jalgaon,2005 - 2006,"1,31,700.00","2,65,100.00",2.01,0,0,0,0,0,0,,
Jalgaon,2006 - 2007,"1,29,500.00","2,46,000.00",1.9,0,0,0,0,0,0,,
Jalgaon,2007 - 2008,"1,20,100.00","2,72,600.00",2.27,0,0,0,0,0,0,,
Jalgaon,2008 - 2009,"10,800.00","20,800.00",1.93,0,0,0,0,0,0,,
Jalgaon,2009 - 2010,"1,12,900.00","2,28,200.00",2.02,0,0,0,0,0,0,,
Jalgaon,2010 - 2011,"1,17,300.00","2,71,200.00",2.31,0,0,0,0,0,0,,
Jalgaon,2011 - 2012,"75,700.00","1,77,600.00",2.35,0,0,0,0,0,0,,
Jalgaon,2012 - 2013,"77,500.00","1,50,200.00",1.94,0,0,0,0,0,0,,
Jalgaon,2013 - 2014,"77,600.00","1,78,300.00",2.3,0,0,0,0,0,0,,
Jalgaon,2014 - 2015,"53,500.00","1,19,600.00",2.24,0,0,0,0,0,0,,
Jalgaon,2015 - 2016,"51,500.00","64,100.00",1.24,0,0,0,0,0,0,,
Jalgaon,2016 - 2017,"54,900.00","1,26,400.00",2.3,0,0,0,0,0,0,,
Jalgaon,2017 - 2018,"55,700.00","1,05,800.00",1.9,0,0,0,0,0,0,,
Jalgaon,2018 - 2019,"59,327.00","87,350.00",1.47,0,0,0,0,0,0,,
Jalgaon,2019 - 2020,"38,982.00","25,783.00",0.66,0,0,0,0,0,0,,
Jalgaon,2020 - 2021,"39,875.97","69,793.06",1.75,0,0,0,0,0,0,,
Jalgaon,2021 - 2022,"36,062.99","37,685.82",1.05,0,0,0,0,0,0,,
Jalgaon,2022 - 2023,"22,278.17","43,346.64",1.95,0,0,0,0,0,0,,
Jalna,1999 - 2000,"37,000.00","39,300.00",1.06,18.898,35.028,26.026,14.732,2.612,4.22,,
Jalna,2000 - 2001,"28,000.00","28,600.00",1.02,19.418,34.47,26.428,14.846,2.746,3.58,,
Jalna,2001 - 2002,"24,600.00","30,300.00",1.23,19.106,35.152,26.36,15.404,3.288,3.912,,
Jalna,2002 - 2003,"16,400.00","22,800.00",1.39,19.518,36.362,27.02,14.356,2.65,3.928,,
Jalna,2003 - 2004,"16,900.00","22,200.00",1.31,19.652,35.298,26.504,15.296,3.744,4.036,,
Jalna,2004 - 2005,"14,700.00","14,600.00",0.99,19.208,34.674,26.4,14.904,3.342,3.808,,
Jalna,2005 - 2006,"15,000.00","18,500.00",1.23,19.056,34.238,25.886,15.548,6.114,4.048,,
Jalna,2006 - 2007,"13,700.00","18,200.00",1.33,19.912,33.496,26.124,15.924,4.284,3.72,,
Jalna,2007 - 2008,"9,900.00","11,800.00",1.19,18.708,33.586,25.638,15.292,3.786,3.748,,
Jalna,2008 - 2009,"3,300.00","1,900.00",0.58,18.702,34.82,26.31,15.162,3.472,3.664,,
Jalna,2009 - 2010,"4,700.00","4,800.00",1.02,19.05,35.222,26.708,15.418,3.02,4.138,,
Jalna,2010 - 2011,"4,200.00","5,200.00",1.24,20.244,33.738,26.39,16.784,5.132,3.754,,
Jalna,2011 - 2012,"1,800.00","2,200.00",1.22,19.694,35.196,26.616,15.122,2.972,4.09,,
Jalna,2012 - 2013,"1,600.00","1,700.00",1.06,18.926,34.87,26.336,15.156,3.596,3.948,,
Jalna,2013 - 2014,"1,600.00","1,900.00",1.19,19.188,32.822,25.434,16.314,5.84,4.028,,
Jalna,2014 - 2015,"1,100.00",300,0.27,19.888,36.66,27.446,14.27,2.322,4.218,,
Jalna,2015 - 2016,"1,000.00",200,0.2,20.138,36.426,27.552,14.446,1.956,3.95,,
Jalna,2016 - 2017,"2,200.00","3,300.00",1.5,19.064,34.304,25.798,15.07,4.858,3.826,,
Jalna,2017 - 2018,200,46,0.23,19.532,34.498,26.336,15.608,3.374,3.714,,
Jalna,2018 - 2019,161,35,0.22,19.552,36.106,27.112,14.154,2.144,3.928,,
Jalna,2019 - 2020,163,177,1.09,20.732,34.672,26.898,16.25,4.01,3.856,,
Jalna,2020 - 2021,456.51,"1,084.84",2.38,19.474,33.234,26.068,16.904,5.176,3.312,,
Jalna,2021 - 2022,268.96,143.76,0.53,19.582,33.122,26.05,17.096,6.116,3.608,,
Jalna,2022 - 2023,331.65,315.8,0.95,18.824,33.576,25.604,15.892,6.298,3.594,,
Kolhapur,1999 - 2000,"13,100.00","24,300.00",1.85,18.27,30.85,23.992,15.666,7.564,4.182,,
Kolhapur,2000 - 2001,"12,400.00","19,600.00",1.58,18.65,30.846,24.12,15.706,6.094,3.786,,
Kolhapur,2001 - 2002,"10,600.00","21,900.00",2.07,18.724,31.056,24.21,15.558,4.646,4.36,,
Kolhapur,2002 - 2003,"9,100.00","16,600.00",1.82,19.476,32.694,24.744,15.602,4.748,3.938,,
Kolhapur,2003 - 2004,"7,700.00","12,400.00",1.61,19.112,32.924,24.944,15.748,4.98,4.032,,
Kolhapur,2004 - 2005,"8,000.00","17,200.00",2.15,18.806,31.042,24.226,15.554,4.95,4.04,,
Kolhapur,2005 - 2006,"8,000.00","9,500.00",1.19,18.6,30.626,23.918,16.156,9.45,4.248,,
Kolhapur,2006 - 2007,"9,100.00","9,800.00",1.08,19.66,29.996,24.212,16.664,7.604,4.19,,
Kolhapur,2007 - 2008,"8,400.00","15,300.00",1.82,18.358,30.88,24.046,16.18,9.338,4.108,,
Kolhapur,2008 - 2009,"8,700.00","18,200.00",2.09,18.618,31.388,24.286,15.714,5.434,4.226,,
Kolhapur,2009 - 2010,"7,600.00","15,900.00",2.09,18.808,30.516,24.33,16.41,8.974,4.294,,
Kolhapur,2010 - 2011,"8,000.00","15,100.00",1.89,19.624,30.992,24.618,17.05,9.378,3.888,,
Kolhapur,2011 - 2012,"7,400.00","16,800.00",2.27,18.892,30.726,24.322,15.994,6.584,4.526,,
Kolhapur,2012 - 2013,"7,300.00","17,900.00",2.45,18.288,31.904,24.45,15.702,5.822,4.092,,
Kolhapur,2013 - 2014,"6,600.00","12,200.00",1.85,19.142,30.234,24.04,16.254,7.95,4.426,,
Kolhapur,2014 - 2015,"6,000.00","10,900.00",1.82,18.908,32.496,24.67,16.04,6.448,4.14,,
Kolhapur,2015 - 2016,"5,700.00","10,100.00",1.77,19.76,32.87,25.176,16.066,5.126,3.864,,
Kolhapur,2016 - 2017,"6,000.00","9,800.00",1.63,18.146,31.598,23.632,15.222,8.782,3.938,,
Kolhapur,2017 - 2018,"4,900.00","8,600.00",1.76,19.012,31.004,24.316,16.356,7.024,3.782,,
Kolhapur,2018 - 2019,"3,109.00","4,437.00",1.43,18.344,31.468,24.47,15.628,7.3,3.84,,
Kolhapur,2019 - 2020,"2,970.00","3,215.00",1.08,20.234,31.402,24.72,17.054,11.198,3.956,,
Kolhapur,2020 - 2021,"3,114.86","4,844.41",1.56,19.35,30.096,24.312,17.052,10.608,3.596,,
Kolhapur,2021 - 2022,"2,362.87","4,292.86",1.82,19.204,29.852,24.444,17.2,10.968,3.818,,
Kolhapur,2022 - 2023,"1,186.47","2,041.92",1.72,18.256,30.876,23.976,16.294,8.244,3.686,,
Latur,1999 - 2000,"1,78,800.00","2,42,600.00",1.36,18.146,34.832,25.62,14.934,1.928,4.666,,
Latur,2000 - 2001,"1,79,700.00","2,24,900.00",1.25,18.232,32.59,25.002,15.702,2.79,4.144,,
Latur,2001 - 2002,"1,62,800.00","2,05,900.00",1.26,18.344,33.572,25.356,15.586,3.542,4.526,,
Latur,2002 - 2003,"1,57,500.00","2,50,200.00",1.59,18.724,35.834,26.014,15.302,2.584,4.226,,
Latur,2003 - 2004,"1,56,700.00","2,29,100.00",1.46,18.562,34.944,25.808,15.354,2.67,4.29,,
Latur,2004 - 2005,"1,39,700.00","1,37,800.00",0.99,18.204,33.632,25.4,15.458,2.382,4.232,,
Latur,2005 - 2006,"1,37,000.00","2,24,900.00",1.64,18.418,32.544,24.54,16.46,4.546,4.002,,
Latur,2006 - 2007,"1,38,400.00","1,80,900.00",1.31,19.14,32.936,25.154,16.184,3.438,4.31,,
Latur,2007 - 2008,"1,33,300.00","2,02,400.00",1.52,17.936,32.512,24.402,16.066,5.208,3.934,,
Latur,2008 - 2009,"1,25,700.00","1,30,600.00",1.04,17.834,33.644,25.32,15.36,2.776,4.242,,
Latur,2009 - 2010,"1,17,200.00","90,000.00",0.77,18.392,33.7,25.492,16.074,3.31,4.59,,
Latur,2010 - 2011,"1,23,600.00","1,76,700.00",1.43,18.97,32.954,25.382,16.704,3.934,4.086,,
Latur,2011 - 2012,"1,06,200.00","1,39,700.00",1.32,19.226,34.632,25.958,14.966,1.64,4.818,,
Latur,2012 - 2013,"99,900.00","1,66,000.00",1.66,18.284,34.448,25.684,14.826,2.846,4.582,,
Latur,2013 - 2014,"96,000.00","1,47,200.00",1.53,18.1,31.642,24.592,16.024,3.158,4.648,,
Latur,2014 - 2015,"88,300.00","94,600.00",1.07,18.66,34.996,26.02,15.318,2.654,4.45,,
Latur,2015 - 2016,"83,500.00","39,600.00",0.47,19.62,36.302,27.054,15.466,2.436,4.39,,
Latur,2016 - 2017,"87,800.00","77,600.00",0.88,18.104,33.686,24.728,14.694,2.496,4.294,,
Latur,2017 - 2018,"78,408.00","67,200.00",0.86,18.812,33.898,25.514,16.156,3.56,3.9,,
Latur,2018 - 2019,"79,498.00","56,006.00",0.7,18.972,36,26.652,14.208,1.522,4.678,,
Latur,2019 - 2020,"63,056.00","49,570.00",0.79,20.032,34.256,26.274,16.44,3.204,4.292,,
Latur,2020 - 2021,"56,343.09","47,244.73",0.84,18.616,31.948,24.972,17.076,6.018,3.71,,
Latur,2021 - 2022,"57,358.52","32,952.47",0.57,18.764,32.568,25.344,16.516,2.932,4.27,,
Latur,2022 - 2023,"7,068.54","2,090.17",0.3,18.032,33.23,24.894,16.166,3.328,3.95,,
Nagpur,1999 - 2000,"50,500.00","44,300.00",0.88,17.98,34.022,25.434,16.134,4.662,3.402,,
Nagpur,2000 - 2001,"47,500.00","43,900.00",0.92,18.718,35.616,26.514,15.108,3.67,3.01,,
Nagpur,2001 - 2002,"47,900.00","39,000.00",0.81,18.004,34.2,25.592,16.468,4.578,3.172,,
Nagpur,2002 - 2003,"46,500.00","43,700.00",0.94,18.414,35.36,26.46,15.342,3.586,3.432,,
Nagpur,2003 - 2004,"44,600.00","42,800.00",0.96,19.416,34.38,26.04,16.474,5.636,3.408,,
Nagpur,2004 - 2005,"40,500.00","29,400.00",0.73,18.7,35.42,26.254,15.624,3.848,3.118,,
Nagpur,2005 - 2006,"36,900.00","31,000.00",0.84,17.788,34.368,25.994,15.764,6.916,3.254,,
Nagpur,2006 - 2007,"33,000.00","34,400.00",1.04,19.306,33.994,26.304,16.598,5.676,3.034,,
Nagpur,2007 - 2008,"22,100.00","21,800.00",0.99,18.228,33.892,25.566,16.034,5.502,3.098,,
Nagpur,2008 - 2009,"17,200.00","14,400.00",0.84,17.884,34.334,25.526,16.188,5.042,2.994,,
Nagpur,2009 - 2010,"12,300.00","9,200.00",0.75,18.304,34.716,26.606,16.128,5.052,3.252,,
Nagpur,2010 - 2011,"12,900.00","9,500.00",0.74,19.298,34.072,26.738,17.36,6.606,3.108,,
Nagpur,2011 - 2012,"7,900.00","5,600.00",0.71,18.79,34.64,25.928,16.152,4.106,3.128,,
Nagpur,2012 - 2013,"6,200.00","5,100.00",0.82,17.78,34.598,25.774,16.212,6.516,3.25,,
Nagpur,2013 - 2014,"4,700.00","1,900.00",0.4,18.678,33.25,25.194,17.2,8.84,3.374,,
Nagpur,2014 - 2015,"3,900.00","2,300.00",0.59,18.942,36.76,27.08,15.316,4.606,3.578,,
Nagpur,2015 - 2016,"4,000.00","3,500.00",0.88,19.286,34.934,26.696,16.436,4.738,3.096,,
Nagpur,2016 - 2017,"2,200.00","1,500.00",0.68,18.534,33.908,25.66,16.096,7.07,3.196,,
Nagpur,2017 - 2018,"2,300.00","1,700.00",0.74,19.186,34.814,26.418,16.726,5.16,3.002,,
Nagpur,2018 - 2019,"2,238.00",982,0.44,18.878,34.898,26.22,15.64,4.426,3.166,,
Nagpur,2019 - 2020,"2,126.00",848,0.4,20.126,34.486,26.73,16.76,6.032,3.33,,
Nagpur,2020 - 2021,"1,719.97","1,180.86",0.69,18.686,33.112,25.758,17.372,5.056,2.616,,
Nagpur,2021 - 2022,"1,719.97","1,280.86",0.74,18.654,33.56,25.766,17.666,6.518,3.072,,
Nagpur,2022 - 2023,"1,115.02",545.81,0.49,18.314,33.882,25.652,16.456,7.574,3.026,,
Nanded,1999 - 2000,"2,02,200.00","2,65,500.00",1.31,0,0,0,0,0,0,,
Nanded,2000 - 2001,"2,09,000.00","2,56,600.00",1.23,0,0,0,0,0,0,,
Nanded,2001 - 2002,"1,81,200.00","2,10,700.00",1.16,0,0,0,0,0,0,,
Nanded,2002 - 2003,"1,71,900.00","2,79,500.00",1.63,0,0,0,0,0,0,,
Nanded,2003 - 2004,"1,64,200.00","2,14,400.00",1.31,0,0,0,0,0,0,,
Nanded,2004 - 2005,"1,65,300.00","2,12,700.00",1.29,0,0,0,0,0,0,,
Nanded,2005 - 2006,"1,70,700.00","1,33,400.00",0.78,0,0,0,0,0,0,,
Nanded,2006 - 2007,"1,70,100.00","1,62,100.00",0.95,0,0,0,0,0,0,,
Nanded,2007 - 2008,"1,67,800.00","1,95,200.00",1.16,0,0,0,0,0,0,,
Nanded,2008 - 2009,"1,11,300.00","1,05,400.00",0.95,0,0,0,0,0,0,,
Nanded,2009 - 2010,"1,25,100.00","91,600.00",0.73,0,0,0,0,0,0,,
Nanded,2010 - 2011,"1,26,500.00","1,33,500.00",1.06,0,0,0,0,0,0,,
Nanded,2011 - 2012,"1,29,300.00","1,67,400.00",1.29,0,0,0,0,0,0,,
Nanded,2012 - 2013,"1,29,400.00","1,57,600.00",1.22,0,0,0,0,0,0,,
Nanded,2013 - 2014,"88,300.00","71,300.00",0.81,0,0,0,0,0,0,,
Nanded,2014 - 2015,"88,300.00","28,600.00",0.32,0,0,0,0,0,0,,
Nanded,2015 - 2016,"87,100.00","32,300.00",0.37,0,0,0,0,0,0,,
Nanded,2016 - 2017,"95,000.00","35,300.00",0.37,0,0,0,0,0,0,,
Nanded,2017 - 2018,"88,397.00","57,800.00",0.65,0,0,0,0,0,0,,
Nanded,2018 - 2019,"88,197.00","61,106.00",0.69,0,0,0,0,0,0,,
Nanded,2019 - 2020,"35,699.00","22,518.00",0.63,0,0,0,0,0,0,,
Nanded,2020 - 2021,"35,702.00","23,192.96",0.65,0,0,0,0,0,0,,
Nanded,2021 - 2022,"32,444.49","14,700.60",0.45,0,0,0,0,0,0,,
Nanded,2022 - 2023,"19,395.07","8,694.81",0.45,0,0,0,0,0,0,,
Nandurbar,2000 - 2001,"36,600.00","25,100.00",0.69,0,0,0,0,0,0,,
Nandurbar,2001 - 2002,"34,800.00","43,200.00",1.24,0,0,0,0,0,0,,
Nandurbar,2002 - 2003,"32,600.00","36,700.00",1.13,0,0,0,0,0,0,,
Nandurbar,2003 - 2004,"30,200.00","48,300.00",1.6,0,0,0,0,0,0,,
Nandurbar,2004 - 2005,"29,700.00","28,200.00",0.95,0,0,0,0,0,0,,
Nandurbar,2005 - 2006,"13,300.00","17,200.00",1.29,0,0,0,0,0,0,,
Nandurbar,2006 - 2007,"28,200.00","27,300.00",0.97,0,0,0,0,0,0,,
Nandurbar,2007 - 2008,"26,900.00","49,400.00",1.84,0,0,0,0,0,0,,
Nandurbar,2008 - 2009,"27,200.00","50,700.00",1.86,0,0,0,0,0,0,,
Nandurbar,2009 - 2010,"27,700.00","36,200.00",1.31,0,0,0,0,0,0,,
Nandurbar,2010 - 2011,"27,600.00","45,000.00",1.63,0,0,0,0,0,0,,
Nandurbar,2011 - 2012,"25,200.00","60,100.00",2.38,0,0,0,0,0,0,,
Nandurbar,2012 - 2013,"27,100.00","53,900.00",1.99,0,0,0,0,0,0,,
Nandurbar,2013 - 2014,"28,600.00","38,200.00",1.34,0,0,0,0,0,0,,
Nandurbar,2014 - 2015,"31,400.00","33,500.00",1.07,0,0,0,0,0,0,,
Nandurbar,2015 - 2016,"29,800.00","29,900.00",1,0,0,0,0,0,0,,
Nandurbar,2016 - 2017,"34,500.00","52,300.00",1.52,0,0,0,0,0,0,,
Nandurbar,2017 - 2018,"39,500.00","59,500.00",1.51,0,0,0,0,0,0,,
Nandurbar,2018 - 2019,"40,154.00","48,494.00",1.21,0,0,0,0,0,0,,
Nandurbar,2019 - 2020,"29,017.00","33,754.00",1.16,0,0,0,0,0,0,,
Nandurbar,2020 - 2021,"30,916.37","48,072.76",1.55,0,0,0,0,0,0,,
Nandurbar,2021 - 2022,"26,829.36","35,929.87",1.34,0,0,0,0,0,0,,
Nandurbar,2022 - 2023,"20,421.04","24,058.03",1.18,0,0,0,0,0,0,,
Nashik,1999 - 2000,"14,200.00","15,100.00",1.06,18.332,33.7,24.944,15.294,4.768,3.924,,
Nashik,2000 - 2001,"12,500.00","10,400.00",0.83,18.96,35.27,26.206,13.95,3.188,3.53,,
Nashik,2001 - 2002,"12,000.00","10,700.00",0.89,18.506,34.502,25.376,15.262,4.362,3.664,,
Nashik,2002 - 2003,"9,200.00","11,200.00",1.22,19.056,35.518,26.186,14.314,3.164,3.87,,
Nashik,2003 - 2004,"6,900.00","4,600.00",0.67,19.154,33.602,25.228,15.878,5.89,3.818,,
Nashik,2004 - 2005,"6,500.00","8,000.00",1.23,18.498,33.51,25.278,15.138,4.146,3.462,,
Nashik,2005 - 2006,"3,700.00","3,500.00",0.95,18.066,33.336,24.966,15.096,7.302,3.78,,
Nashik,2006 - 2007,"2,500.00","2,000.00",0.8,18.868,32.102,25.032,16.126,5.946,3.396,,
Nashik,2007 - 2008,"1,800.00","1,400.00",0.78,18.252,32.628,24.94,15.376,5.448,3.436,,
Nashik,2008 - 2009,"1,100.00","1,400.00",1.27,18.038,33.67,25.14,15.318,4.876,3.524,,
Nashik,2009 - 2010,600,400,0.67,18.296,34.382,25.606,15.388,5.316,3.808,,
Nashik,2010 - 2011,"1,800.00","2,100.00",1.17,19.446,32.778,25.576,17.074,5.978,3.384,,
Nashik,2011 - 2012,"5,900.00","7,900.00",1.34,18.784,33.522,25.278,15.518,4.268,3.618,,
Nashik,2012 - 2013,"6,800.00","12,800.00",1.88,18.35,33.918,25.45,15.486,5.232,3.734,,
Nashik,2013 - 2014,"6,700.00","13,300.00",1.99,18.542,32.432,24.442,16.544,7.628,3.714,,
Nashik,2015 - 2016,800,700,0.88,18.882,34.92,26.01,15.496,4.9,3.548,,
Nashik,2016 - 2017,"1,100.00","2,100.00",1.91,18.324,33.82,24.874,15.042,5.9,3.566,,
Nashik,2017 - 2018,800,"1,100.00",1.38,18.976,33.662,25.354,15.774,5.184,3.344,,
Nashik,2018 - 2019,647,813,1.26,18.922,35.756,26.21,14.366,4.22,3.646,,
Nashik,2019 - 2020,707,369,0.52,19.976,33.134,25.488,16.566,6.766,3.71,,
Nashik,2020 - 2021,854.2,"1,306.67",1.53,18.43,32.536,25.3,16.844,5.16,2.834,,
Nashik,2021 - 2022,724.39,"1,060.87",1.46,18.892,32.718,25.206,16.858,6.044,3.546,,
Nashik,2022 - 2023,695.24,963.6,1.39,18.214,32.462,24.602,15.956,7.588,3.484,,
Osmanabad,1999 - 2000,"87,600.00","81,800.00",0.93,18.196,35.516,26.032,14.784,2.054,4.904,,
Osmanabad,2000 - 2001,"89,600.00","1,13,400.00",1.27,18.162,33.472,25.376,15.318,2.552,4.426,,
Osmanabad,2001 - 2002,"82,400.00","51,300.00",0.62,18.304,34.048,25.636,15.356,3.314,4.76,,
Osmanabad,2002 - 2003,"85,900.00","76,100.00",0.89,18.842,36.466,26.384,14.954,2.264,4.56,,
Osmanabad,2003 - 2004,"77,200.00","39,100.00",0.51,18.66,36.186,26.436,15,2.24,4.634,,
Osmanabad,2004 - 2005,"77,800.00","57,800.00",0.74,18.254,34.076,25.67,15.106,2.124,4.552,,
Osmanabad,2005 - 2006,"73,200.00","65,400.00",0.89,18.52,32.776,24.696,16.214,4.166,4.242,,
Osmanabad,2006 - 2007,"72,900.00","53,400.00",0.73,19.442,33.596,25.494,15.944,3.122,4.574,,
Osmanabad,2007 - 2008,"67,800.00","50,200.00",0.74,17.996,33.1,24.758,15.762,4.756,4.148,,
Osmanabad,2008 - 2009,"52,100.00","26,600.00",0.51,17.976,34.154,25.624,15.152,2.662,4.454,,
